coin_name,value,date,time
Bitcoin,29174.33,2023-08-06,22:54:48
Bitcoin,29174.33,2023-08-06,22:54:53
Bitcoin,29174.33,2023-08-06,22:54:58
Bitcoin,29174.33,2023-08-06,22:55:03
Bitcoin,29174.33,2023-08-06,22:55:08
Bitcoin,29174.33,2023-08-06,22:55:13
Bitcoin,29174.33,2023-08-06,22:55:18
Bitcoin,29174.33,2023-08-06,22:55:23
Bitcoin,29174.33,2023-08-06,22:55:28
Bitcoin,29174.33,2023-08-06,22:55:33
Solana,23.4,2023-08-06,22:55:18
Solana,23.4,2023-08-06,22:55:23
Solana,23.4,2023-08-06,22:55:28
Solana,23.4,2023-08-06,22:55:33
